row,cat
1,Acipenseridae
2,Alopiidae
3,Ammodytidae
4,Anarhichadidae
5,Anguillidae
6,Atherinidae
7,Balistidae
8,Belonidae
9,Callionymidae
10,Caracharhinidae
11,Carangidae
12,Clupidae
13,Congridae
14,Cottidae
15,Cyprinidae
16,Engraulidae
17,Esocidae
18,Gadidae
19,Gasterosteidae
20,Labridae
21,Lophiidae
22,Lotidae
23,Moronidae
24,Muglidae
25,Mullidae
26,Muraenidae
27,Osmeridae
28,Percidae
29,Pholidae
30,Pleuronectidae
31,Rajidae
32,Salmonidae
33,Scaridae
34,Sciaenidae
35,Scombridae
36,Scophthalmidae
37,Serranidae
38,Siluridaeycipitidae
39,Soleidae
40,Sparidae
41,Squalidae
42,Triglidae
43,Zeidae
44,Zoarcidae
