Name,source,sourceurl
Angler fish,NYPL BritishFishes,https://digitalcollections.nypl.org/items/5afe91f0-c6c7-012f-a73b-58d385a7bc34#/?uuid=510d47da-6368-a3d9-e040-e00a18064a99
Arctic char,NYPL Ichtylogie,https://digitalcollections.nypl.org/items/70481370-c5fe-012f-b223-58d385a7bc34#/?uuid=510d47da-6948-a3d9-e040-e00a18064a99
Atlantic bluefin tuna,Internet Archive,https://archive.org/details/ccarl_000136
Atlantic cod,NYPL Ichtylogie,https://digitalcollections.nypl.org/items/61385ac0-c5fe-012f-aa88-58d385a7bc34#/?uuid=510d47da-6886-a3d9-e040-e00a18064a99
Atlantic halibut,NYPL Ichtylogie,https://digitalcollections.nypl.org/items/5a38cf60-c5fe-012f-c3b1-58d385a7bc34#/?uuid=510d47da-6875-a3d9-e040-e00a18064a99
Atlantic herring,NYPL Ichtylogie,https://digitalcollections.nypl.org/items/527537d0-c5fe-012f-6782-58d385a7bc34#/?uuid=510d47da-6854-a3d9-e040-e00a18064a99
Atlantic mackerel,NYPL Ichtylogie,https://digitalcollections.nypl.org/items/5cfec500-c5fe-012f-7102-58d385a7bc34#/?uuid=510d47da-687c-a3d9-e040-e00a18064a99
Atlantic salmon,NYPL Ichtylogie,https://digitalcollections.nypl.org/items/4f18db40-c5fe-012f-1d92-58d385a7bc34#/?uuid=510d47da-684b-a3d9-e040-e00a18064a99
Ballan wrasse,NYPL BritishFishes,https://digitalcollections.nypl.org/items/538c9470-c6c7-012f-04ca-58d385a7bc34#/?uuid=510d47da-632b-a3d9-e040-e00a18064a99
Barbel,NYPL Ichtylogie,https://digitalcollections.nypl.org/items/4e4c0da0-c5fe-012f-cf39-58d385a7bc34#/?uuid=510d47da-6849-a3d9-e040-e00a18064a99
Bib,NYPL BritishFishes,https://digitalcollections.nypl.org/items/4439a590-c6c7-012f-8ee4-58d385a7bc34#/?uuid=510d47da-62de-a3d9-e040-e00a18064a99
Black seabream,NYPL Ichtylogie,https://digitalcollections.nypl.org/items/4c5670a0-c5fe-012f-3704-58d385a7bc34#/?uuid=510d47da-6844-a3d9-e040-e00a18064a99
Bleak,NYPL BritishFishes,https://digitalcollections.nypl.org/items/43fd6a70-c6c7-012f-7967-58d385a7bc34#/?uuid=510d47da-62dd-a3d9-e040-e00a18064a99
Blue shark,NYPL Ichtylogie,https://digitalcollections.nypl.org/items/69d490e0-c5fe-012f-7f90-58d385a7bc34#/?uuid=510d47da-6931-a3d9-e040-e00a18064a99
